        单轴间接拉伸试验结果报告

       二进制结果文件存放路径:C:\Documents and Settings\Owner\桌面\BTLS-1-6.uit
       文本结果文件存放路径:C:\Documents and Settings\Owner\桌面\BTLS-1-6.txt
       试验开始时间: 09:30:19,04/23/2019
       试件类型:圆柱体    直径:49.7 mm    高:23.0 mm
       相关传感器: 垂直向100KN力传感器(测试件垂直力)
                  垂直向50MM行程传感器(测试件垂直变形)
                  两个水平向2.5MM位移传感器(测试件横向变形)
       步骤:1    控制模式:力    波形:斜坡
       速率:0.20 KN/s    终点:0.000 KN
组号 时间(ms) 垂直力(KN) 垂直变形(mm) 横向变形(mm)
167	16846	3.787       0.29391       0.0538 
168	16946	3.812       0.29682       0.0542 
169	17046	3.835       0.29779       0.0547 
170	17146	3.857       0.29973       0.0552 
171	17246	3.880       0.29973       0.0558 
172	17346	3.902       0.30070       0.0562 
173	17446	3.923       0.30167       0.0566 
174	17546	3.950       0.30458       0.0568 
175	17646	3.968       0.30555       0.0572 
176	17746	3.991       0.30652       0.0574 
177	17846	4.013       0.30846       0.0577 
178	17946	4.038       0.30943       0.0580 
179	18046	4.061       0.31137       0.0583 
180	18146	4.084       0.31331       0.0586 
181	18246	4.106       0.31234       0.0588 
182	18346	4.129       0.31719       0.0591 
183	18446	4.149       0.31719       0.0593 
184	18546	4.170       0.31913       0.0597 
185	18646	4.194       0.31913       0.0599 
186	18746	4.217       0.32010       0.0602 
187	18846	4.242       0.32107       0.0605 
188	18946	4.262       0.32301       0.0608 
189	19046	4.290       0.32398       0.0611 
190	19146	4.308       0.32689       0.0613 
191	19246	4.330       0.32689       0.0616 
192	19346	4.353       0.32883       0.0619 
193	19446	4.376       0.32883       0.0622 
194	19546	4.398       0.32980       0.0626 
195	19646	4.423       0.33174       0.0628 
196	19746	4.446       0.33271       0.0631 
197	19846	4.464       0.33465       0.0634 
198	19946	4.489       0.33659       0.0636 
199	20046	4.511       0.33756       0.0639 
200	20146	4.532       0.33950       0.0643 
201	20246	4.557       0.34047       0.0645 
202	20346	4.577       0.34241       0.0649 
203	20446	4.600       0.34241       0.0651 
204	20546	4.622       0.34338       0.0655 
205	20646	4.645       0.34629       0.0658 
206	20746	4.668       0.34629       0.0662 
207	20846	4.688       0.34920       0.0664 
208	20946	4.708       0.34920       0.0667 
209	21046	4.733       0.35211       0.0670 
210	21146	4.758       0.35308       0.0674 
211	21246	4.781       0.35405       0.0678 
212	21346	4.801       0.35599       0.0680 
213	21446	4.821       0.35793       0.0684 
214	21546	4.846       0.35890       0.0689 
215	21646	4.869       0.36084       0.0693 
216	21746	4.889       0.36084       0.0696 
217	21846	4.910       0.36278       0.0702 
218	21946	4.932       0.36278       0.0707 
219	22046	4.957       0.36472       0.0712 
220	22146	4.975       0.36569       0.0716 
221	22246	4.998       0.36666       0.0720 
222	22346	5.021       0.36763       0.0725 
223	22446	5.043       0.37054       0.0728 
224	22546	5.064       0.37054       0.0731 
225	22646	5.089       0.37345       0.0737 
226	22746	5.107       0.37345       0.0740 
227	22846	5.132       0.37636       0.0745 
228	22946	5.154       0.37830       0.0748 
229	23046	5.175       0.38024       0.0754 
230	23146	5.197       0.38121       0.0756 
231	23246	5.215       0.38218       0.0761 
232	23346	5.240       0.38412       0.0766 
233	23446	5.258       0.38606       0.0771 
234	23546	5.276       0.38800       0.0778 
235	23646	5.297       0.38994       0.0784 
236	23746	5.317       0.39091       0.0792 
237	23846	5.331       0.39188       0.0800 
238	23946	5.351       0.39479       0.0814 
239	24046	5.360       0.39673       0.0834 
240	24146	5.274       0.39964       0.0891 
241	24158	2.716       0.40061       0.0927 
242	24160	0.285       0.40158       0.1005 
243	24162	0.000       0.40158       0.1214 
